Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1663819719.4250877,82,147028681,0,GPS1_Frame,42.34364666666667,-71.1022,25.6,326836.9920550366,4690072.322763352,19,T
1663819720.44497,83,147032282,0,GPS1_Frame,42.34365,-71.10220166666666,25.9,326836.86391381815,4690072.696299821,19,T
1663819721.4451833,84,147035883,0,GPS1_Frame,42.34365500000001,-71.102205,26.3,326836.60305555165,4690073.258301812,19,T
1663819722.4110236,85,147039484,0,GPS1_Frame,42.34366333333333,-71.10219833333333,26.5,326837.1751064961,4690074.170078401,19,T
1663819723.4230518,86,147043085,0,GPS1_Frame,42.343673333333335,-71.10219500000001,26.6,326837.4771473743,4690075.273715074,19,T
1663819724.4241061,87,147046686,0,GPS1_Frame,42.34368333333333,-71.10219666666667,26.8,326837.3673095971,4690076.387535381,19,T
1663819725.4237337,88,147050287,0,GPS1_Frame,42.34368833333333,-71.10220166666666,27.1,326836.9691586092,4690076.952931908,19,T
1663819726.4238658,89,147053888,0,GPS1_Frame,42.34369499999999,-71.10220666666666,27.7,326836.5755835573,4690077.703399423,19,T
1663819727.4398956,90,147057489,0,GPS1_Frame,42.34369833333334,-71.102215,28.2,326835.89827117417,4690078.090514185,19,T
1663819728.4334786,91,147061090,0,GPS1_Frame,42.34370333333333,-71.10221166666668,28.3,326836.18658448,4690078.638937924,19,T
1663819729.4172986,92,147064691,0,GPS1_Frame,42.34370666666666,-71.10220333333334,28.4,326836.8822002929,4690078.992107034,19,T
1663819730.4226005,93,147068292,0,GPS1_Frame,42.343711666666664,-71.10219500000001,28.6,326837.5823918787,4690079.530347174,19,T
1663819731.423905,94,147071893,0,GPS1_Frame,42.34371333333334,-71.10218833333333,28.8,326838.1361389026,4690079.701839987,19,T
1663819732.4259326,95,147075494,0,GPS1_Frame,42.343716666666666,-71.10218166666665,29.1,326838.6944617184,4690080.058403805,19,T
1663819733.4453099,96,147079095,0,GPS1_Frame,42.34372,-71.10217666666667,29.6,326839.1154916965,4690080.418362178,19,T
1663819734.4444163,97,147082696,0,GPS1_Frame,42.343725,-71.10216,30.1,326840.50214680564,4690080.93963007,19,T
1663819735.4447184,98,147086297,0,GPS1_Frame,42.343738333333334,-71.10214500000001,30.7,326841.77438765275,4690082.389647498,19,T
1663819736.4241772,99,147089898,0,GPS1_Frame,42.34374833333333,-71.10213499999999,31.4,326842.62559841713,4690083.479706545,19,T
1663819737.4230886,100,147093499,0,GPS1_Frame,42.34375666666667,-71.10212333333332,31.9,326843.6095259191,4690084.381300299,19,T
1663819738.4248457,101,147241140,0,GPS1_Frame,42.34376999999999,-71.10210999999998,32.1,326844.74447285733,4690085.8347126655,19,T
1663819739.4239392,102,147244741,0,GPS1_Frame,42.343781666666665,-71.102105,32.3,326845.1883804793,4690087.120026196,19,T
1663819740.4402292,103,147248342,0,GPS1_Frame,42.34378666666667,-71.10209833333334,33.0,326845.7512779891,4690087.661661515,19,T
